audio_file|text
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0406.wav|NOD
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0406.wav|NOD
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0254.wav|WITTY
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0254.wav|WITTY
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0297.wav|FAT
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0297.wav|FAT
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0230.wav|EXPLORE
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0230.wav|EXPLORE
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0420.wav|THE PROSPECT OF CUTTING BACK SPENDING IS AN UNPLEASANT ONE FOR ANY GOVERNOR
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0420.wav|THE PROSPECT OF CUTTING BACK SPENDING IS AN UNPLEASANT ONE FOR ANY GOVERNOR
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0072.wav|DUG
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0072.wav|DUG
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0063.wav|KNEE
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0063.wav|KNEE
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0065.wav|YET HE STILL THINKS AS SWIFTLY AS EVER
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0065.wav|YET HE STILL THINKS AS SWIFTLY AS EVER
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0368.wav|ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0368.wav|ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0193.wav|BACK
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0193.wav|BACK
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_headMic/0201.wav|THOUGH
/home/buu/ly/F5-TTS-main/data/TORGO/M03/Session2/wav_arrayMic/0201.wav|THOUGH
